id,match_id,player_color,player_name,opponent_name,result,status,player_rating,opponent_rating,rating_difference,variant,speed,perf,clock_time_control,clock_increment,time_control_with_increment,source,division_middle,opening_eval,division_end,middlegame_eval,created_at,last_move_at,time_spent_playing,opening_eco,opening_name,normalized_opening_name,opening_ply,player_rating_diff,player_final_clock,player_avg_time_per_move,player_inaccuracy,player_mistake,player_blunder,player_accuracy,opponent_rating_diff,opponent_final_clock,opponent_avg_time_per_move,opponent_inaccuracy,opponent_mistake,opponent_blunder,opponent_accuracy,half_moves,full_moves,moves,clocks
12462,n8zldTlQ,white,Drac25,VNSAntos,loss,resign,1016,1074,-58,standard,blitz,blitz,180,2,3+2,lichess.org,15.0,-0.7,41.0,,30/09/25 00:21,2025-09-30 03:31:06.989+00,570.968,B01,Scandinavian Defense,Scandinavian Defense,2,-5,827,3.18,,,,,4,2046,3.01,,,,,108,54,e4 d5 Qh5 dxe4 Bc4 g6 Qd5 Qxd5 Bxd5 Nf6 Nc3 c6 Bxe4 Nxe4 Nxe4 Bg7 c3 Nd7 Nf3 b6 d4 Bb7 Bf4 Ba6 Ne5 Nxe5 dxe5 Rd8 b3 Bd3 Rd1 O-O f3 f6 e6 g5 Bc7 Rc8 Bg3 Bxe4 fxe4 f5 exf5 Rxf5 c4 Bc3+ Ke2 Rcf8 Rhf1 Rxf1 Rxf1 Rxf1 Kxf1 Kg7 Ke2 Kf6 Kd3 Be5 Ke4 Bxg3 hxg3 Kxe6 a4 c5 g4 h6 g3 Kd6 Kf5 e6+ Kg6 e5 Kxh6 e4 Kxg5 e3 Kf4 e2 Kf3 e1=Q g5 Qe7 Kg4 Qe6+ Kh5 Qf7+ g6 Qg7 g4 Ke5 g5 Kf4 b4 cxb4 a5 bxa5 c5 b3 c6 b2 c7 Qxc7 Kh6 b1=Q g7 Qxg7+ Kxg7 Kxg5,"{18003,18003,18147,17811,18291,17483,18251,17403,18347,17075,18187,16979,18155,16987,18227,16899,16891,16107,16747,15387,16691,15139,14595,14907,14187,14571,13883,13675,12107,13379,10219,12899,8987,10499,7699,9075,7283,6603,6715,4827,6099,4819,3203,4123,3035,3819,2643,2939,2411,2139,2419,2075,2483,2059,1867,2171,1763,1875,1195,1763,1243,1867,1107,1339,909,1339,971,942,1003,1091,1035,1195,924,1347,1083,1499,1235,1659,1387,1763,1083,1667,1123,1603,1051,1571,1139,1595,1179,1747,1115,1899,991,1795,1003,1827,1107,1915,1235,2019,1379,1947,1371,1971,1387,1947,1435,2046,827}"
12463,WsEm2Onk,white,Drac25,rhd47,win,mate,1011,951,60,standard,blitz,blitz,180,2,3+2,lichess.org,,,,,30/09/25 00:20,2025-09-30 03:21:17.895+00,20.841,B20,Sicilian Defense: Bowdler Attack,Sicilian Defense,3,5,17333,2.23,,,,,-5,17947,0.28,,,,,7,4,e4 c5 Bc4 Nc6 Qh5 Nf6 Qxf7#,"{18003,18003,17915,18123,17835,17947,17333}"
12464,VFncxlWd,white,Drac25,celestine_14,loss,outoftime,1016,1069,-53,standard,blitz,blitz,180,2,3+2,lichess.org,20.0,-0.26,36.0,,29/09/25 20:51,2025-09-29 23:58:26.999+00,444.54,B06,Modern Defense,Modern Defense,2,-5,0,5.46,,,,,4,4295,4.28,,,,,66,33,e4 g6 Bc4 Bg7 Nf3 b6 d4 Bb7 e5 e6 Bg5 Ne7 O-O O-O Bf6 d6 Bxg7 Kxg7 Nc3 Nd7 exd6 cxd6 Ng5 d5 Nxd5 exd5 Bb5 Nf5 Qf3 Qf6 Bxd7 Qxg5 Bxf5 gxf5 Qg3 Qxg3 fxg3 Kg6 h4 Rae8 Rf4 Re4 c3 Re3 Raf1 Bc8 R1f3 Re2 h5+ Kxh5 Rh4+ Kg6 Kh2 Rxb2 Rff4 Rxa2 Kh3 Be6 g4 fxg4+ Rhxg4+ Bxg4+ Kxg4 Rxg2+ Kf3 Rh2,"{18003,18003,17835,18203,17715,17923,17243,18019,17203,17795,17019,17811,16051,17315,16115,16931,15979,16859,14163,16171,12963,16067,12835,14899,12747,14211,11859,12363,11187,10723,9315,10131,9043,9979,8379,9979,8435,9603,8171,9211,7611,9051,7491,6867,7195,6603,6187,6123,5403,5915,5467,5899,4331,5899,3819,5771,2883,5507,2867,5075,2859,5099,2931,4835,2492,4295,0}"
12465,cMjdnff7,black,Drac25,celestine_14,loss,mate,1021,1064,-43,standard,blitz,blitz,180,2,3+2,lichess.org,27.0,1.0,,,29/09/25 20:46,2025-09-29 23:50:54.749+00,243.184,A00,Hungarian Opening,Hungarian Opening,1,-5,8893,6.07,,,,,5,10532,4.67,,,,,33,17,g3 d5 Bg2 Bf5 e3 e5 Ne2 e4 O-O Nf6 b3 Bd6 Bb2 Ng4 Bxg7 Rg8 Bb2 h5 d3 h4 Nd2 hxg3 fxg3 Nxe3 Qe1 Nxc2 Qf2 Bxg3 hxg3 d4 Qxf5 Ne3 Qxf7#,"{18003,18003,18203,18027,18075,17915,18171,17947,18251,17787,18331,17587,18403,16747,17083,16411,16163,16291,15795,16323,15299,14411,15099,13723,12723,11915,12091,10723,11787,9059,11259,8893,10532}"
13161,Nt1nkXt2,white,Drac25,kacperskivaleryj,win,mate,997,999,-2,standard,blitz,blitz,300,0,5+0,lichess.org,,,,,15/07/25 00:29,2025-07-15 03:31:28.472+00,108.349,C20,King's Pawn Game: Wayward Queen Attack,King's Pawn Game,3,6,26478,5.88,,,,,-8,23555,12.9,,,,,13,7,e4 e5 Qh5 g6 Qxe5+ Be7 Qxh8 Kf8 Bc4 Bf6 Qxh7 d6 Qxf7#,"{30003,30003,29795,29515,29571,28051,29355,25923,27227,25451,26811,23555,26478}"
13412,0x9luD2q,white,Drac25,ABDULKHAN_2050,win,mate,970,1008,-38,standard,blitz,blitz,300,0,5+0,lichess.org,,2.72,,,01/07/25 14:51,2025-07-01 17:53:58.239+00,134.084,B01,Scandinavian Defense,Scandinavian Defense,2,7,23886,7.65,0.0,0.0,0.0,91.0,-7,24057,8.49,0.0,1.0,2.0,60.0,17,9,e4 d5 e5 d4 Nf3 c5 Bc4 f6 d3 fxe5 Nxe5 e6 Qh5+ g6 Qf3 h5 Qf7#,"{30003,30003,29651,29875,28339,29755,27491,29451,26635,29123,26347,26115,24563,24667,24363,24057,23886}"
13413,FnGNtjSz,black,Drac25,Yogendrasai,win,timeout,964,967,-3,standard,blitz,blitz,300,0,5+0,lichess.org,,-3.08,,,01/07/25 14:47,2025-07-01 17:50:39.823+00,162.788,B00,Nimzowitsch Defense,Nimzowitsch Defense,2,6,21841,9.07,,,,,-6,17252,12.75,,,,,20,10,e4 Nc6 Bd3 e5 f4 Nf6 fxe5 Nxe5 Nf3 Nxd3+ cxd3 d5 exd5 Nxd5 Qe2+ Be6 d4 Nf4 Qe4 Nxg2+,"{30003,30003,29707,29787,28211,27387,27699,27203,26443,25323,25899,24611,25139,23827,24139,23523,23747,22435,23131,21841,17252}"
12469,GeOA10gQ,black,Drac25,AldoCapablanca10,win,timeout,1017,857,160,standard,blitz,blitz,180,2,3+2,lichess.org,22.0,-7.65,,,29/09/25 20:33,2025-09-29 23:35:28.56+00,126.831,C40,King's Pawn Game: Busch-Gass Gambit,King's Pawn Game,4,3,12822,4.71,,,,,-10,0,15.0,,,,,24,12,e4 e5 Nf3 Bc5 Bc4 d6 Ng5 Qxg5 O-O Nf6 d4 Qg6 dxc5 Nxe4 Qe2 O-O Bd3 Bf5 f3 Ng3 Bxf5 Nxe2+ Kh1 Qxf5,"{18003,18003,18083,17363,18051,17291,18043,16739,17115,15795,17083,15523,17035,14771,16803,13379,16843,13347,16675,13075,16323,12795,16011,12822,0}"
12479,ody59cA7,white,Drac25,GunnerVzla,win,mate,1019,1027,-8,standard,blitz,blitz,180,2,3+2,lichess.org,,,,,28/09/25 17:30,2025-09-28 20:30:50.73+00,25.493,C20,King's Pawn Game: Wayward Queen Attack,King's Pawn Game,3,6,17737,0.89,,,,,-6,16994,5.04,,,,,7,4,e4 e5 Qh5 Nc6 Bc4 Nf6 Qxf7#,"{18003,18003,18083,17755,18115,16994,17737}"
12867,jjRwVUwM,black,Drac25,cssddv,win,mate,914,845,69,standard,blitz,blitz,300,0,5+0,lichess.org,22.0,-7.92,,,14/08/25 20:58,2025-08-15 00:02:34.27+00,247.626,D00,Queen's Pawn Game: Accelerated London System,Queen's Pawn Game,3,5,17920,10.07,,,,,-5,18947,9.21,,,,,26,13,d4 d5 Bf4 Nc6 Nc3 a6 Qd3 Nf6 e4 dxe4 Nxe4 Bf5 Qb3 Bxe4 Kd1 Nxd4 Qa4+ c6 Ke1 Nxc2+ Ke2 Nxa1 Ke3 Nc2+ Ke2 Qd3#,"{30003,30003,29923,29291,29691,28659,29387,27539,29155,27283,28795,27075,27067,24595,25499,23763,24507,23043,21971,21667,21587,19979,19723,18067,18947,17920}"
